,first,second,score
1058,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,Nothing or no one is ever gone if they leave their memory behind.,5
1059,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"Thus, you can become quite possessive.",5
1060,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
1061,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
1062,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
1063,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,5
1064,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,Exercise is a good way to release this tension.,5
1065,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"You are clever, witty, and always have a joke or comeback ready for any situation.",5
1066,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
1067,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
1068,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
1069,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,You are handy with your hands and may be ambidextrous or mechanically inclined.,5
1070,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,Debate and argument appeal to you.,5
1071,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
1072,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"This is the jack-of-all-trades, master-of-none position.",5
1073,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"There is danger, then, of superficiality.",5
1074,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"Control of thought, word, and action is necessary in order to be successful.",5
1075,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"Find your focus, stay with it and develop perseverance.",5
1076,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
1077,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
1078,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
1079,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
1080,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
1081,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
1082,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
1083,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,Comfort is important to you and you hate getting your hands dirty.,5
1084,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
1085,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
1086,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,"Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
1087,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,You aim to please in practical and earthy ways.,5
1088,Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.,More about,na
1089,You are also very sympathetic and understand the unspoken feelings and needs of others.,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",5
1090,You are also very sympathetic and understand the unspoken feelings and needs of others.,Security is very important to you and you look for it in your home and family life.,5
1091,You are also very sympathetic and understand the unspoken feelings and needs of others.,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,1
1092,You are also very sympathetic and understand the unspoken feelings and needs of others.,You are very tenacious and you do not give up or let go of things or people easily.,5
1093,You are also very sympathetic and understand the unspoken feelings and needs of others.,Your mother is/was a strong influence for good or ill in your life.,5
1094,You are also very sympathetic and understand the unspoken feelings and needs of others.,"You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
1095,You are also very sympathetic and understand the unspoken feelings and needs of others.,You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
1096,You are also very sympathetic and understand the unspoken feelings and needs of others.,Nothing or no one is ever gone if they leave their memory behind.,5
1097,You are also very sympathetic and understand the unspoken feelings and needs of others.,"Thus, you can become quite possessive.",5
1098,You are also very sympathetic and understand the unspoken feelings and needs of others.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
1099,You are also very sympathetic and understand the unspoken feelings and needs of others.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
1100,You are also very sympathetic and understand the unspoken feelings and needs of others.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
1101,You are also very sympathetic and understand the unspoken feelings and needs of others.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,5
1102,You are also very sympathetic and understand the unspoken feelings and needs of others.,Exercise is a good way to release this tension.,5
1103,You are also very sympathetic and understand the unspoken feelings and needs of others.,"You are clever, witty, and always have a joke or comeback ready for any situation.",5
1104,You are also very sympathetic and understand the unspoken feelings and needs of others.,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
1105,You are also very sympathetic and understand the unspoken feelings and needs of others.,You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
1106,You are also very sympathetic and understand the unspoken feelings and needs of others.,You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
1107,You are also very sympathetic and understand the unspoken feelings and needs of others.,You are handy with your hands and may be ambidextrous or mechanically inclined.,5
1108,You are also very sympathetic and understand the unspoken feelings and needs of others.,Debate and argument appeal to you.,5
1109,You are also very sympathetic and understand the unspoken feelings and needs of others.,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
1110,You are also very sympathetic and understand the unspoken feelings and needs of others.,"This is the jack-of-all-trades, master-of-none position.",5
1111,You are also very sympathetic and understand the unspoken feelings and needs of others.,"There is danger, then, of superficiality.",5
1112,You are also very sympathetic and understand the unspoken feelings and needs of others.,"Control of thought, word, and action is necessary in order to be successful.",5
1113,You are also very sympathetic and understand the unspoken feelings and needs of others.,"Find your focus, stay with it and develop perseverance.",5
1114,You are also very sympathetic and understand the unspoken feelings and needs of others.,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
1115,You are also very sympathetic and understand the unspoken feelings and needs of others.,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
1116,You are also very sympathetic and understand the unspoken feelings and needs of others.,You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
1117,You are also very sympathetic and understand the unspoken feelings and needs of others.,"If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
1118,You are also very sympathetic and understand the unspoken feelings and needs of others.,You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
1119,You are also very sympathetic and understand the unspoken feelings and needs of others.,"You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
1120,You are also very sympathetic and understand the unspoken feelings and needs of others.,You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
1121,You are also very sympathetic and understand the unspoken feelings and needs of others.,Comfort is important to you and you hate getting your hands dirty.,5
1122,You are also very sympathetic and understand the unspoken feelings and needs of others.,"At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
1123,You are also very sympathetic and understand the unspoken feelings and needs of others.,"Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
1124,You are also very sympathetic and understand the unspoken feelings and needs of others.,"Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
1125,You are also very sympathetic and understand the unspoken feelings and needs of others.,You aim to please in practical and earthy ways.,5
1126,You are also very sympathetic and understand the unspoken feelings and needs of others.,More about,na
1127,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",Security is very important to you and you look for it in your home and family life.,5
1128,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,5
1129,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You are very tenacious and you do not give up or let go of things or people easily.,3
1130,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",Your mother is/was a strong influence for good or ill in your life.,5
1131,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
1132,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
1133,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",Nothing or no one is ever gone if they leave their memory behind.,5
1134,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","Thus, you can become quite possessive.",5
1135,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","You have the memory of an elephant, but you must learn to forgive and forget past hurts.",2
1136,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
1137,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
1138,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,5
1139,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",Exercise is a good way to release this tension.,5
1140,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","You are clever, witty, and always have a joke or comeback ready for any situation.",5
1141,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
1142,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
1143,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
1144,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You are handy with your hands and may be ambidextrous or mechanically inclined.,5
1145,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",Debate and argument appeal to you.,5
1146,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
1147,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","This is the jack-of-all-trades, master-of-none position.",5
1148,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","There is danger, then, of superficiality.",5
1149,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","Control of thought, word, and action is necessary in order to be successful.",5
1150,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","Find your focus, stay with it and develop perseverance.",5
1151,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
1152,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
1153,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
1154,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
1155,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
1156,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
1157,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
1158,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",Comfort is important to you and you hate getting your hands dirty.,5
1159,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
1160,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
1161,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.","Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
1162,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",You aim to please in practical and earthy ways.,5
1163,"You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.",More about,na
1164,Security is very important to you and you look for it in your home and family life.,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,5
1165,Security is very important to you and you look for it in your home and family life.,You are very tenacious and you do not give up or let go of things or people easily.,5
1166,Security is very important to you and you look for it in your home and family life.,Your mother is/was a strong influence for good or ill in your life.,5
1167,Security is very important to you and you look for it in your home and family life.,"You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",3
1168,Security is very important to you and you look for it in your home and family life.,You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
1169,Security is very important to you and you look for it in your home and family life.,Nothing or no one is ever gone if they leave their memory behind.,5
1170,Security is very important to you and you look for it in your home and family life.,"Thus, you can become quite possessive.",5
1171,Security is very important to you and you look for it in your home and family life.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
1172,Security is very important to you and you look for it in your home and family life.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
1173,Security is very important to you and you look for it in your home and family life.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
1174,Security is very important to you and you look for it in your home and family life.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,5
1175,Security is very important to you and you look for it in your home and family life.,Exercise is a good way to release this tension.,5
1176,Security is very important to you and you look for it in your home and family life.,"You are clever, witty, and always have a joke or comeback ready for any situation.",5
1177,Security is very important to you and you look for it in your home and family life.,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
1178,Security is very important to you and you look for it in your home and family life.,You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
1179,Security is very important to you and you look for it in your home and family life.,You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
1180,Security is very important to you and you look for it in your home and family life.,You are handy with your hands and may be ambidextrous or mechanically inclined.,5
1181,Security is very important to you and you look for it in your home and family life.,Debate and argument appeal to you.,5
1182,Security is very important to you and you look for it in your home and family life.,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
1183,Security is very important to you and you look for it in your home and family life.,"This is the jack-of-all-trades, master-of-none position.",5
1184,Security is very important to you and you look for it in your home and family life.,"There is danger, then, of superficiality.",5
1185,Security is very important to you and you look for it in your home and family life.,"Control of thought, word, and action is necessary in order to be successful.",5
1186,Security is very important to you and you look for it in your home and family life.,"Find your focus, stay with it and develop perseverance.",5
1187,Security is very important to you and you look for it in your home and family life.,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
1188,Security is very important to you and you look for it in your home and family life.,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
1189,Security is very important to you and you look for it in your home and family life.,You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
1190,Security is very important to you and you look for it in your home and family life.,"If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
1191,Security is very important to you and you look for it in your home and family life.,You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
1192,Security is very important to you and you look for it in your home and family life.,"You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
1193,Security is very important to you and you look for it in your home and family life.,You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
1194,Security is very important to you and you look for it in your home and family life.,Comfort is important to you and you hate getting your hands dirty.,5
1195,Security is very important to you and you look for it in your home and family life.,"At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
1196,Security is very important to you and you look for it in your home and family life.,"Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
1197,Security is very important to you and you look for it in your home and family life.,"Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
1198,Security is very important to you and you look for it in your home and family life.,You aim to please in practical and earthy ways.,5
1199,Security is very important to you and you look for it in your home and family life.,More about,na
1200,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You are very tenacious and you do not give up or let go of things or people easily.,5
1201,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,Your mother is/was a strong influence for good or ill in your life.,5
1202,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
1203,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
1204,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,Nothing or no one is ever gone if they leave their memory behind.,5
1205,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"Thus, you can become quite possessive.",5
1206,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
1207,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
1208,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
1209,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,5
1210,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,Exercise is a good way to release this tension.,5
1211,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"You are clever, witty, and always have a joke or comeback ready for any situation.",5
1212,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
1213,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
1214,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,5
1215,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You are handy with your hands and may be ambidextrous or mechanically inclined.,5
1216,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,Debate and argument appeal to you.,5
1217,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,5
1218,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"This is the jack-of-all-trades, master-of-none position.",5
1219,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"There is danger, then, of superficiality.",5
1220,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"Control of thought, word, and action is necessary in order to be successful.",5
1221,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"Find your focus, stay with it and develop perseverance.",5
1222,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
1223,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",5
1224,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
1225,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
1226,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
1227,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
1228,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,4
1229,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,Comfort is important to you and you hate getting your hands dirty.,5
1230,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
1231,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
1232,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,"Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
1233,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,You aim to please in practical and earthy ways.,5
1234,Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.,More about,na
1235,You are very tenacious and you do not give up or let go of things or people easily.,Your mother is/was a strong influence for good or ill in your life.,5
1236,You are very tenacious and you do not give up or let go of things or people easily.,"You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
1237,You are very tenacious and you do not give up or let go of things or people easily.,You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
1238,You are very tenacious and you do not give up or let go of things or people easily.,Nothing or no one is ever gone if they leave their memory behind.,5
1239,You are very tenacious and you do not give up or let go of things or people easily.,"Thus, you can become quite possessive.",2
1240,You are very tenacious and you do not give up or let go of things or people easily.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts.",4
1241,You are very tenacious and you do not give up or let go of things or people easily.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
1242,You are very tenacious and you do not give up or let go of things or people easily.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
1243,You are very tenacious and you do not give up or let go of things or people easily.,You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.,5
1244,You are very tenacious and you do not give up or let go of things or people easily.,Exercise is a good way to release this tension.,5
1245,You are very tenacious and you do not give up or let go of things or people easily.,"You are clever, witty, and always have a joke or comeback ready for any situation.",5
1246,You are very tenacious and you do not give up or let go of things or people easily.,You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.,5
1247,You are very tenacious and you do not give up or let go of things or people easily.,You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.,5
1248,You are very tenacious and you do not give up or let go of things or people easily.,You like to taste a little bit of everything – concentration and disciplined study are not your strong points.,6
1249,You are very tenacious and you do not give up or let go of things or people easily.,You are handy with your hands and may be ambidextrous or mechanically inclined.,5
1250,You are very tenacious and you do not give up or let go of things or people easily.,Debate and argument appeal to you.,5
1251,You are very tenacious and you do not give up or let go of things or people easily.,There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.,6
1252,You are very tenacious and you do not give up or let go of things or people easily.,"This is the jack-of-all-trades, master-of-none position.",5
1253,You are very tenacious and you do not give up or let go of things or people easily.,"There is danger, then, of superficiality.",5
1254,You are very tenacious and you do not give up or let go of things or people easily.,"Control of thought, word, and action is necessary in order to be successful.",5
1255,You are very tenacious and you do not give up or let go of things or people easily.,"Find your focus, stay with it and develop perseverance.",9
1256,You are very tenacious and you do not give up or let go of things or people easily.,"Journalism, speaking, teaching, sales, advertising, or writing may appeal to you.",5
1257,You are very tenacious and you do not give up or let go of things or people easily.,"Mentally restless, you may change jobs or locations frequently, or do work that involves movement, travel, and variety.",6
1258,You are very tenacious and you do not give up or let go of things or people easily.,You grasp concepts easily and may become impatient with those who don't learn as quickly.,5
1259,You are very tenacious and you do not give up or let go of things or people easily.,"If you have Venus in Taurus, in love affairs you are generally loyal and steady, especially if your partner is demonstrative and affectionate.",5
1260,You are very tenacious and you do not give up or let go of things or people easily.,You are oriented towards the sensual side of life in everything you do and it may show through too much weight.,5
1261,You are very tenacious and you do not give up or let go of things or people easily.,"You are tremendously responsive to beauty and physical appearances, and the physical attractiveness of your partner is very important to you.",5
1262,You are very tenacious and you do not give up or let go of things or people easily.,You enjoy indulging yourself and the ones you love and it is too easy for you to be extravagant and perhaps to put too much value in material things.,5
1263,You are very tenacious and you do not give up or let go of things or people easily.,Comfort is important to you and you hate getting your hands dirty.,5
1264,You are very tenacious and you do not give up or let go of things or people easily.,"At times you can be lazy, hoping or expecting someone else to do the dirty work.",5
1265,You are very tenacious and you do not give up or let go of things or people easily.,"Self-control needs to be developed and added to the qualifications you already possess -warmth, charm, sympathy, artistic.",5
1266,You are very tenacious and you do not give up or let go of things or people easily.,"Guard against possessiveness, jealousy, and taking the easy way out in your relationships.",5
1267,You are very tenacious and you do not give up or let go of things or people easily.,You aim to please in practical and earthy ways.,5
1268,You are very tenacious and you do not give up or let go of things or people easily.,More about,na
1269,Your mother is/was a strong influence for good or ill in your life.,"You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.",5
1270,Your mother is/was a strong influence for good or ill in your life.,You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.,5
1271,Your mother is/was a strong influence for good or ill in your life.,Nothing or no one is ever gone if they leave their memory behind.,5
1272,Your mother is/was a strong influence for good or ill in your life.,"Thus, you can become quite possessive.",5
1273,Your mother is/was a strong influence for good or ill in your life.,"You have the memory of an elephant, but you must learn to forgive and forget past hurts.",5
1274,Your mother is/was a strong influence for good or ill in your life.,"If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.",5
1275,Your mother is/was a strong influence for good or ill in your life.,"You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.",5
